Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Henri Matisse,1956,"Paintings, Drawings, Sculptures, Tapestries",1952,Poster,1952-05-20,Architecture & Design,Design,French,Male,1869,1954
Kenneth Armitage,1955,Family Going for a Walk,1951,Lithograph,1953-01-30,Prints & Illustrated Books,Print,British,Male,1916,2002
Umetaro Azechi,1955,SNOWMAN (plate facing page 40) from THE MODERN JAPANESE PRINT,1962,"Woodcut, printed in color",1965-04-06,Prints & Illustrated Books,Illustrated Book,Japanese,Male,1902,1999
Massimo Campigli,1955,"ANTIOPE, plate I (page 15) from THESEUS",1949,Unknown,1954-01-12,Prints & Illustrated Books,Illustrated Book,Italian,Male,1895,1971
Robert Colquhoun,1955,Plate (facing page 4) from POEMS OF SLEEP AND DREAM,1947,Unknown,1952-11-07,Prints & Illustrated Books,Illustrated Book,British,Male,1914,1962
Otto Dix,1955,At the Café (Im Café),1922,Watercolor and ink on paper,1955-04-06,Drawings,Drawing,German,Male,1891,1969
Alvar Aalto,1956,"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",1955,"Plastic, cardboard, and synthetic polymer paint",2000-06-30,Architecture & Design,Architecture,Finnish,Male,1898,1976
"Artek, Finland",1956,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hagbard Elis Bergh,1956,Charm Tumblers,1939,Crystal,1948-03-17,Architecture & Design,Design,Swedish,Male,1881,1954
Frederick Carder,1956,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Corning Glass Works, Corning, NY",1956,Frying Pan,1942,Borosilicate glass and steel,1948-03-17,Architecture & Design,Design,American,Unknown,1851,
United Productions of America (UPA),1955,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Santiago Agurto Calvo,1956,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Francisco Artigas,1956,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Luis Barragán,1956,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Moisés Benacerraf,1956,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Guido Bermudez,1956,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Karel Appel,1956,"Front cover from Frie Kunstnere , Volume 3",1950,Book with lithographed cover,1992-05-20,Prints & Illustrated Books,Illustrated Book,Dutch,Male,1921,2006
William Baziotes,1956,".a: Blue Sun, .b: Untitled",1945,"recto:  Pastel and pencil on gray paper 
verso: Pastel on gray paper",1979-05-07,Drawings,Drawing,American,Male,1912,1963
Max Beckmann,1956,Exhibition Poster,0,Unknown,Unknown,Architecture & Design,Design,German,Male,1884,1950
Pierre Bonnard,1956,"Solfège, preliminary cover design for Petit Solfège Illustré",1893,Lithograph with watercolor additions,1990-01-16,Prints & Illustrated Books,Illustrated Book,French,Male,1867,1947
Paul-Émile Borduas,1956,La Guignolee,1954,Watercolor on paper,1955-04-06,Drawings,Drawing,Canadian,Male,1905,1960
Edvard Munch,1957,The Scream,1896,Lithograph,1960-02-10,Prints & Illustrated Books,Print,Norwegian,Male,1863,1944
Berenice Abbott,1958,"Exchange Place, New York",1933,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1898,1991
Alice Austen,1958,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Joseph Bellanca,1958,Untitled,1950,Gelatin silver print,1959-04-22,Photography,Photograph,American,Male,1930,
Paul Berg,1958,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mathew B. Brady (studio of),1958,Edwin Forrest,1861,"Salted paper print by Chicago Albumen Works from a wet-collodion glass negative, printed 1990",1991-03-14,Photography,Photograph,American,Male,1823,1896
Max Abramovitz,1959,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Othmar H. Ammann,1959,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ove Arup,1959,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Guillaume Gillet,1959,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Wallace K. Harrison,1959,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Dankmar Adler,1958,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Edward Clark,1958,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Harwell Hamilton Harris,1958,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Henry Howard,1958,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Benjamin Henry Latrobe, Sr.",1958,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Berenice Abbott,1959,"Exchange Place, New York",1933,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1898,1991
Ansel Adams,1959,New Mexico,1933,Gelatin silver print,1939-01-06,Photography,Photograph,American,Male,1902,1984
Robert Adamson,1959,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Manuel Álvarez Bravo,1959,"Coyoacan, Mexico, D.F",1975,Gelatin silver print,1977-03-10,Photography,Photograph,Mexican,Male,1902,2002
Emmy Andriesse,1959,"Amsterdam, Winter",1944,Gelatin silver print,1976-10-13,Photography,Photograph,Dutch,Female,1914,1953
Boris Aronson,1944,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Irene Aronson,1944,Moon Night,1951,Etching and aquatint,1952-11-07,Prints & Illustrated Books,Print,American,Female,1918,
Leon Bakst,1944,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Cecil Beaton,1944,Edith Sitwell,1927,Gelatin silver print,1989-03-09,Photography,Photograph,British,Male,1904,1980
Alexandre Benois,1944,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hans Breder,1977,Pictura Minuta: Portrait of the Urban Poor,1983,"Video (color, sound)",1984-09-03,Media and Performance Art,Video,German,Male,1935,
Mona da Vinci,1977,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Stephen C. Foster,1977,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ernest Gusella,1977,What Under the Sun?,1984,"Video (color, sound)",1984-09-01,Media and Performance Art,Video,Canadian,Male,1941,
Michael Harvey,1977,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Cuno Amiet,1977,Portrait of Germaine Richier,1950,Lithograph,1965-04-06,Prints & Illustrated Books,Print,Swiss,Male,1868,1961
Umberto Boccioni,1977,Study for Portrait of Ferrucio Busoni,1916,Pen and ink on paper,1952-01-22,Drawings,Drawing,Italian,Male,1882,1916
Peter Campus,1977,Dusk,1991,Digital photograph; gelatin silver print,1992-01-09,Photography,Photograph,American,Male,1937,
Harry Callahan,1977,Ireland,1979,Dye transfer print,1983-01-13,Photography,Photograph,American,Male,1912,1999
Antoni Gaudí,1977,Prayer Bench,1914,Spanish oak and wrought iron,1976-03-22,Architecture & Design,Design,Spanish,Male,1852,1926
Alexander Calder,1976,"Gouaches Totems, Galerie Maeght, Calder",1966,Lithograph,1966-05-10,Architecture & Design,Design,American,Male,1898,1976
Mary Miss,1976,Untitled No. 12,1990,Collage of gelatin silver prints,1992-04-02,Photography,Photograph,American,Female,1944,
Charles Simonds,1976,Birth,1971,Chromogenic color prints,1976-12-08,Photography,Photograph,American,Male,1945,
Stephen Shore,1977,"County of Sutherland, Scotland",1988,Chromogenic color print,1989-03-09,Photography,Photograph,American,Male,1947,
Ron Hays,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Alan Sondheim,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Michael Tilson Thomas,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
YES New York,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Washington Allston,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Milton Avery,1976,Milton Avery: Paintings 1930-1960,1962,Illustrated book with 1 etching,1996-11-12,Prints & Illustrated Books,Illustrated Book,American,Male,1885,1965
William Baziotes,1976,".a: Blue Sun, .b: Untitled",1945,"recto:  Pastel and pencil on gray paper 
verso: Pastel on gray paper",1979-05-07,Drawings,Drawing,American,Male,1912,1963
George Bellows,1976,Under the Elevated,1908,"Watercolor, ink, and pencil on paper",1935-06-13,Drawings,Drawing,American,Male,1882,1925
Albert Bierstadt,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Joan Altabe,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Donna Bott,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Terrence Geiger,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Atle Grahl-Madsen,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Steve Heffernan,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Earnest Hallen,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Nicholas Nixon,1976,"The Brown Sisters, East Greenwich, Rhode Island",1980,Gelatin silver print,1981-02-26,Photography,Photograph,American,Male,1947,
Vito Acconci,1976,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Lynda Benglis,1976,Victor,1974,"Aluminum screen, cotton bunting, plaster, sprayed zinc, steel, and tin",1975-12-09,Painting & Sculpture,Sculpture,American,Female,1941,
Peter Campus,1976,Dusk,1991,Digital photograph; gelatin silver print,1992-01-09,Photography,Photograph,American,Male,1937,
Ed Emshwiller,1976,Scape-Mates,1972,"Video (color, sound)",1985-12-13,Media and Performance Art,Video,American,Male,1925,1990
Joan Jonas,1976,Hurricane Series,1979,Portfolio of five aquatints,1987-05-14,Prints & Illustrated Books,Print,American,Female,1936,
Alfa Romeo Automobiles,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
American Machine and Foundry,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Steam Power Systems,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Volkswagenwerk AG, Wolfsburg, West Germany",1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Volvo,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Luis Barragán,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Andres Casillas,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Max Ludwig Cetto,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
José Creixell,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Raul Ferrera,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Berenice Abbott,1976,"Exchange Place, New York",1933,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1898,1991
Manuel Álvarez Bravo,1976,"Coyoacan, Mexico, D.F",1975,Gelatin silver print,1977-03-10,Photography,Photograph,Mexican,Male,1902,2002
Paul L. Anderson,1976,October Morning in the Berkshires,1917,Gelatin silver print (chlorobromide),1976-02-24,Photography,Photograph,American,Male,1880,1956
Thomas Annan,1976,High Street from the Cross,1868,Photogravure,Unknown,Photography,Photograph,British,Male,1829,1887
Felice Beato,1976,"Angle of North Taku Fort at Which the French Entered, August 21st",1860,Albumen silver print from a wet-collodion glass negative,1986-01-15,Photography,Photograph,Italian,Male,1825,1903
Mark Tobey,1976,"Enter the Garden, plate I from Meanders",1976,"One from a portfolio of nine screenprints
",1979-12-04,Prints & Illustrated Books,Illustrated Book,American,Male,1890,1976
Max Ernst,1976,"Arp, Max Ernst, A. Giacometti, Miro, Gonzalez",1934,Letterpress,1952-05-20,Architecture & Design,Design,French,Male,1891,1976
Paul Strand,1976,Driftwood,1929,Platinum print,1943-02-17,Photography,Photograph,American,Male,1890,1976
General Idea,1976,AIDS (Wallpaper),1988,Screenprinted wallpaper,2004-10-07,Prints & Illustrated Books,Print,Canadian,Male,,
Shigeko Kubota,1976,Flux Medicine from Fluxkit,1966,"Multiple of plastic box with offset label; containing 25 pills, 19 empty capsules, four labels, three styrofoam discs, two offsets on paper and one medicine bottle with dropper from a multiple containing 31 objects in various media",1982-10-26,Prints & Illustrated Books,Print,Japanese,Female,1937,2015
William Wegman,1976,Elephant II,1981,Color instant print (Polaroid),1982-03-11,Photography,Photograph,American,Male,1943,
William T. Wiley,1976,"RIM RAT, plate 1 (folio 3) from A SUITE OF DAZE",1977,"Lift ground aquatint and soft ground etching, printed in black",1977-11-10,Prints & Illustrated Books,Illustrated Book,American,Male,1937,
J. S. Anderson,1976,"You Can Be Sure of Shell, Motorists Prefer Shell",1935,Offset lithograph,1968-03-07,Architecture & Design,Design,British,Unknown,,
Herbert Bayer,1976,"""Bauhaus 1919-1928,"" The Museum of Modern Art, New York, December 7, 1938-January 30, 1939, Exhibition floor plan",1938,"Ink, gouache, and cut-and-pasted coated papers",1986-10-07,Architecture & Design,Architecture,American,Male,1900,1985
Lester Beall,1976,Cross Out Slums,1941,Lithograph,1944-05-02,Architecture & Design,Design,American,Male,1903,1969
Aubrey Beardsley,1976,"Avenue Theater, A Comedy of Sighs!",1894,Lithograph and letterpress,1968-03-07,Architecture & Design,Design,British,Male,1872,1898
"Beggarstaffs (James Pryde, Scottish 1866-1941 & William Nicholson, British 1872-1949)",1976,"""Kassama"" Corn Flour",1894,Lithograph,1988-04-27,Architecture & Design,Design,British,Unknown,1866,1949
Georges Braque,1976,"Exposition, Galerie Maeght",1959,Lithograph in six colors,1960-04-06,Architecture & Design,Design,French,Male,1882,1963
Charles Camoin,1976,Standing Nude,1904,Ink and chalk on paper,1953-01-30,Drawings,Drawing,French,Male,1879,1965
Henri-Edmond Cross,1976,Landscape with Figures,1905,Watercolor on paper,1957-02-27,Drawings,Drawing,French,Male,1856,1910
André Derain,1976,Plate (folio 12) from HOMMAGE À ROGER LACOURIÈRE,1968,"Etching, printed in black",1976-01-08,Prints & Illustrated Books,Illustrated Book,French,Male,1880,1954
Kees van Dongen,1976,Frontispiece from LA PRINCESSE DE BABYLONE,1948,Unknown,1964-10-06,Prints & Illustrated Books,Illustrated Book,French,Male,1877,1968
Ansel Adams,1976,New Mexico,1933,Gelatin silver print,1939-01-06,Photography,Photograph,American,Male,1902,1984
Robert Adamson,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Robert Adams,1976,"Outdoor Theater and Cheyenne Mountain, Colorado Springs, Colorado",1968,Gelatin silver print,1970-03-04,Photography,Photograph,American,Male,1937,
Morgan Russell,1976,Study in Transparency,1922,Oil on tissue paper,1955-04-06,Drawings,Drawing,American,Male,1886,1953
Michael Snow,1976,Shot!,1963,63 rubber stamped sheets mounted on board,1964-04-14,Prints & Illustrated Books,Print,Canadian,Male,1929,
Jaime Davidovich,1976,Cincinnati Tape Piece,1972,"Pressure-sensitive tape, gelatin silver print, felt-tip pen, and pencil on paperboard
",2005-05-10,Drawings,Drawing,American,Male,1936,2016
Bart Friedman,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Gotwald,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
William Leavitt,1976,Electric Chair (Interior),1983,Pastel and pencil on paper,2005-05-10,Drawings,Drawing,American,Male,1941,
Andy Mann,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Friederike Pezold,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Henryk Berlewi,1976,First State of the Mechano-Faktura,1923,Gouache and pencil on paper,1985-09-10,Drawings,Drawing,Polish,Male,1894,1967
Jan Brzękowski,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Albert Gleizes,1976,"Action, Première Année, Numéro 1, Février 1920",1920,"1 pochoir (front cover) and 16 wood engraved ornaments and reproductions
",1979-01-23,Prints & Illustrated Books,Illustrated Book,French,Male,1881,1953
Karol Hiller,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Katarzyna Kobro,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Bernd Becher,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hilla Becher,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Stuart Davis,1976,Study for Radio City Music Hall Mural,1932,Ink on paper,1977-02-02,Drawings,Drawing,American,Male,1892,1964
Fulvio Bianconi,1976,Fazzoletto Vase,1949,Glass,1953-04-07,Architecture & Design,Design,Italian,Male,1915,1996
Michael P. Bosniak,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Deirdre Burnett,1976,Bowl,1974,Glazed porcelain,1975-03-31,Architecture & Design,Design,British,Female,1939,
Antoni Gaudí,1976,Prayer Bench,1914,Spanish oak and wrought iron,1976-03-22,Architecture & Design,Design,Spanish,Male,1852,1926
Karl Koepping,1976,Liqueur Glass,1900,Blown glass,1985-11-18,Architecture & Design,Design,German,Male,1848,1914
Eugene Buechel,1976,NONA SHARP FISH ON DAY OF FIRST COMMUNION,1936,Gelatin silver print,1977-03-10,Photography,Photograph,American,Male,1874,1954
Robert Ryman,1975,Robert Ryman Prints: 1969-1993,1993,1 aquatint; catalogue with 5 unmarked aquatint and etching fragments,1995-01-24,Prints & Illustrated Books,Illustrated Book,American,Male,1930,
Richard Smith,1975,Ski Goggles,1966,"Plastic, foam, and elastic",1969-12-01,Architecture & Design,Design,British,Male,1931,2016
Ron Dubren,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Hermine Freed,1976,Art Herstory,1974,"Video (color, sound)",1999-06-15,Media and Performance Art,Video,American,Female,1940,1998
William Gwin,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gary Hill,1976,Between Cinema and a Hard Place,1991,"Video (color, sound), monitors, laser disc players, speakers, stereo amplifier, and audio mixer",1995-02-06,Painting & Sculpture,Installation,American,Male,1951,
Adler & Sullivan,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gabriel-Auguste Ancelet,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Victor Baltard,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lucien Bardey,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Émile Bénard,1976,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Walter Pichler,1975,"Underground Building, project (Isometric)",1963,Ink and graphite on paper,1963-11-12,Architecture & Design,Architecture,Austrian,Male,1936,2012
Robert Cumming,1975,"Toy Boat Afloat in Small Pond; Upon Setting Sail, Sinks Reflection",1974,Two gelatin silver prints,1984-01-12,Photography,Photograph,American,Male,1943,
Clarence John Laughlin,1975,The Fierce-Eyed Building,1938,Gelatin silver print,1975-02-12,Photography,Photograph,American,Male,1905,1985
Man Ray,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Frederick Sommer,1975,Artificial Leg,1944,Gelatin silver print,1964-01-07,Photography,Photograph,American,Male,1905,1999
Jon Alpert,1975,Hard Metals Disease,1984,"Video (color, sound)",1989-11-01,Film,Video,American,Male,1948,
Trisha Brown,1975,Man Walking Down the Side of a Building,1970,"16mm film transferred to video (black and white, silent)",2008-03-12,Media and Performance Art,Video,American,Female,1936,
Chris Burden,1975,The Atomic Alphabet,1980,Etching with watercolor additions,1987-05-14,Prints & Illustrated Books,Print,American,Male,1946,2015
Cara DeVito,1975,Ama L'Uomo Tuo (Always Love Your Man),1975,"Video (black and white and color, sound)",1989-01-15,Media and Performance Art,Video,American,Female,1951,
Downtown Community TV Center,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jean Tinguely,1975,"Alexandre Iolas, Milano, 1966",1966,Poster,1967-10-18,Architecture & Design,Design,Swiss,Male,1925,1991
Milton Glaser,1975,Sony Tape: Full Color Sound,1979,Lithograph,1980-01-08,Architecture & Design,Design,American,Male,1929,
Barbara Hepworth,1975,Hollow Form (Penwith),1955,"Lagos wood, partly painted",1960-02-10,Painting & Sculpture,Sculpture,British,Female,1903,1975
Aleksandr Archipenko,1975,"Plate 2 from FUTURISTI, ASTRATTISTI, DADAISTI, PRECURSORI DELL' AVANGUARDIA, Volume 1/FUTURISTS, ABSTRACTIONISTS, DADAISTS, THE FORERUNNERS OF THE",1962,"Etching, printed in black",1967-06-06,Prints & Illustrated Books,Illustrated Book,American,Male,1887,1964
Jean (Hans) Arp,1975,Collages 1912 - 1955,1955,Lithograph,1956-04-04,Architecture & Design,Design,French,Male,1886,1966
Larry Bell,1975,Untitled,1975,Photolithographic reproductions of photographs,1982-01-21,Prints & Illustrated Books,Illustrated Book,American,Male,1939,
Lee Bontecou,1975,"Plate 1 (folio 4) from Fifth Stone, Sixth Stone",1968,Etching and aquatint,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Female,1931,
Irving Penn,1975,"Alfred H. Barr, Jr., New York",1947,Gelatin silver print,1985-03-27,Photography,Photograph,American,Male,1917,2009
D. W. Griffith,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Vito Acconci,1975,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Giuseppe Chiari,1975,La Strada,1964,Typewriting on paper with ink additions,2008-10-08,Prints & Illustrated Books,Print,Italian,Male,1926,2007
Joan Jonas,1975,Hurricane Series,1979,Portfolio of five aquatints,1987-05-14,Prints & Illustrated Books,Print,American,Female,1936,
Urs Lüthi,1975,"Spirit, Form, Reason",1989,"Photogravure, aquatint and screenprint, printed on three sheets",1990-05-02,Prints & Illustrated Books,Print,Swiss,Male,1947,
Jean Otth,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Anthony Caro,1975,Source,1967,Painted steel and aluminum,1976-03-09,Painting & Sculpture,Sculpture,British,Male,1924,2013
Walker Evans,1975,"Houses, Salem, Massachusetts",1932,Gelatin silver print,1933-04-13,Photography,Photograph,American,Male,1903,1975
Ger van Elk,1975,Mont Blanc Mountain,1979,Screenprint on color photograph,1979-12-04,Prints & Illustrated Books,Print,Dutch,Male,1941,2014
Raimund Abraham,1975,"Earth-Cloud House, project",1970,Graphite,1980-01-08,Architecture & Design,Architecture,American,Male,1933,2010
Peter Cook,1975,"Arcadia Peninsula Housing, project, Revised version: exterior elevation",1979,Ink and gouache on paper,1992-01-15,Architecture & Design,Architecture,British,Male,1936,
Coop Himmelb(l)au,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Peter Eisenman,1975,"House IV Project, Falls Village, Connecticut, Axonometrics",1975,Ink on frosted polymer sheet,2000-10-31,Architecture & Design,Architecture,American,Male,1932,
"Eventstructures, Inc.",1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lucas Samaras,1975,I Love You,1961,Poster,1963-03-13,Architecture & Design,Design,American,Male,1936,
Josef Koudelka,1975,Bardejov District,1966,Gelatin silver print,1987-04-16,Photography,Photograph,Czech,Male,1938,
Loren Madsen,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John Baldessari,1975,"The Life and Opinions of Tristram Shandy, Gentleman",1988,Illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,1989-01-18,Prints & Illustrated Books,Illustrated Book,American,Male,1931,
Peter Campus,1975,Dusk,1991,Digital photograph; gelatin silver print,1992-01-09,Photography,Photograph,American,Male,1937,
Dan Graham,1975,"Baroque Bedroom, Model Home, Staten Island, N.Y.; Motel, San Francisco",1982,Two chromogenic color prints,1996-06-13,Photography,Photograph,American,Male,1942,
Bruce Nauman,1975,"Study related to the sculpture ""Storage Capsule for the Right Rear Quarter of My Body""",1966,Watercolor and pencil on paper,1985-03-08,Drawings,Drawing,American,Male,1941,
Edward Weston,1975,"Church Door, Hornitos",1940,Gelatin silver print,1946-05-07,Photography,Photograph,American,Male,1886,1958
John Walker,1975,Form as Hook,1985,"Synthetic polymer paint, chalk ,and charcoal on paper",1989-11-21,Drawings,Drawing,British,Male,1939,
Lee Friedlander,1975,"New City, New York",1974,Gelatin silver print,1992-01-09,Photography,Photograph,American,Male,1934,
Shusaku Arakawa,1975,Double page plate (pages 10 and 11) from EUREKA,1991,Unknown,1991-01-22,Prints & Illustrated Books,Illustrated Book,American,Male,1936,2010
Peter Blake,1975,Little Sonny Summer,1969,"Watercolor, gouache, and ink on paper",1978-04-04,Drawings,Drawing,British,Male,1932,
A. M. Cassandre,1975,Milton Dental Cream,1934,Lithograph,1936-05-20,Architecture & Design,Design,French,Male,1901,1968
Jules Chéret,1975,Palais de Glace Champs Elysées,1893,Lithograph,1968-03-07,Architecture & Design,Design,French,Male,1836,1932
Ludwig Mies van der Rohe,1975,Misc. objects,0,Unknown,1980-01-08,Architecture & Design,Mies van der Rohe Archive,American,Male,1886,1969
Joseph Beuys,1975,Zeichnungen von 1949-1969,1969,Illustrated book with 57 photolithographic reproductions of drawings,1982-01-21,Prints & Illustrated Books,Illustrated Book,German,Male,1921,1986
Gilbert & George,1975,To Be With Art Is All We Ask,1970,Gelatin silver print and six pages of typewritten text in folder,2008-02-14,Photography,Photograph,British,Male,,
Rebecca Horn,1975,The Double (Der Doppelgänger) (for Parkett no. 13),1987,Multiple of silver-plated brass double-headed hammer,1998-03-05,Prints & Illustrated Books,Multiple,German,Female,1944,
George Passmore,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gilbert Proesch,1975,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ulrike Rosenbach,1975,Psyche and Eros,1981,"Video (color, sound)",1981-11-16,Media and Performance Art,Video,German,Female,1943,
Jess,1974,Ex. 4-Trinity's Trine,1964,Oil on canvas over wood,1974-10-08,Painting & Sculpture,Painting,American,Male,1923,2004
Alighiero Boetti,1975,Probing The Mysteries of a Double Life (for Parkett no. 24),1990,"Collotype, with gouache additions",1998-03-05,Prints & Illustrated Books,Print,Italian,Male,1940,1994
Daniel Buren,1975,Legend I/Légend I/Bildtext I and Legend II/Légende II/Bildtext II,1970,410 photolithographic reproductions after photographs taken by Michel Cenet of Buren installations in Paris Metro stations,1982-01-21,Prints & Illustrated Books,Illustrated Book,French,Male,1938,
Hanne Darboven,1975,49 x 49 (7 x 7 = 49),1972,Graphite pencil on 49 sheets of lined paper,1973-05-24,Drawings,Drawing,German,Female,1941,2009
Jan Dibbets,1975,Panorama Israel,1972,Collage of two rows of photographs,1985-09-10,Drawings,Drawing,Dutch,Male,1941,
