Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
George Bellows,1996,Under the Elevated,1908,"Watercolor, ink, and pencil on paper",1935-06-13,Drawings,Drawing,American,Male,1882,1925
Peter Blume,1996,"Study for Parade (Waterfront, Manhattan)",1929,Gouache on board,1935-06-13,Drawings,Drawing,American,Male,1906,1992
Louise Bourgeois,1996,"Homely Girl, A Life, volume I and II",1992,Two volume illustrated book,1993-01-18,Prints & Illustrated Books,Illustrated Book,American,Female,1911,2010
Jasper Johns,1996,"Peintures & Sculptures & Dessins & Lithos, Jasper Johns, Galerie Rive Droite",1960,Lithograph,1961-11-08,Architecture & Design,Design,American,Male,1930,
Roy Lichtenstein,1996,Lincoln Center / September 12-22 1966 / 4th New York Film Festival / Philarmonic Hall,1966,Poster,1976-10-22,Architecture & Design,Design,American,Male,1923,1997
Liubov Popova,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Andy Warhol,1996,Perrier,1983,Offset lithograph,1986-05-16,Architecture & Design,Design,American,Male,1928,1987
Vito Acconci,1996,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Emma Amos,1996,Take One,1985,Stencil,1989-10-12,Prints & Illustrated Books,Print,American,Female,1938,
Richard Artschwager,1996,Umble #2,1970,Charcoal on paper,1970-05-12,Drawings,Drawing,American,Male,1923,2013
Luis Cruz Azaceta,1996,Lotto: The American Dream from 10: Artist as Catalyst,1992,One from a portfolio of ten screenprints,1993-01-18,Prints & Illustrated Books,Print,American,Male,1942,
Judith Francisca Baca,1996,Red Scare and Chavez Ravine,1992,Lithograph,1994-01-24,Prints & Illustrated Books,Print,American,Female,1946,
Robert A. M. Stern,1996,"Feature Animation Building, The Walt Disney Company, Burbank, California, South elevation, preliminary study",1992,Color pencil on paper,1996-09-25,Architecture & Design,Architecture,American,Male,1939,
Harry C. Wolf,1996,"ABN-AMRO Bank Project, Amsterdam, The Netherlands, Elevation of Nederlander Boogie Woogie",1996,Ink on Mylar,1996-09-25,Architecture & Design,Architecture,American,Male,1935,
Eddie Adams / Associated Press,1996,Moment of Execution,1968,Gelatin silver print,2001-06-14,Photography,Photograph,American,Male,1933,2004
Associated Press,1996,"""Hitler at Microphone""",1933,Gelatin silver print,2001-06-14,Photography,Photograph,Unknown,Unknown,,
George Grantham Bain,1996,Wright's Flight around Statue of Liberty,1909,Gelatin silver print,2001-06-14,Photography,Photograph,American,Male,1865,1914
Bangs Studio,1996,D. W. Griffith,1919,Gelatin silver print,2001-06-14,Photography,Photograph,Unknown,Unknown,,
Dominique Berretty/Black Star Publishing Co.,1996,"""Bal d'Hiver, Paris""",1954,Gelatin silver print,2001-06-14,Photography,Photograph,French,Female,1925,1980
Arian Brekveld,1996,Soft Lamps Hanging Lamp,1995,PVC,1996-09-25,Architecture & Design,Design,Dutch,Male,1968,
Annelies De Leede,1996,Bowl,1993,Clay and potsherds,1996-09-25,Architecture & Design,Design,Nationality unknown,Unknown,,
Rody Graumans,1996,85 Lamps Lighting Fixture,1992,"Lightbulbs, cords, and sockets",1996-09-25,Architecture & Design,Design,Dutch,Male,1968,
Hella Jongerius,1996,Soft Vase,1994,Polyurethane resin,1996-09-25,Architecture & Design,Design,Dutch,Female,1963,
Tejo Remy,1996,Milkbottle Lamp,1991,"Milk bottles, steel, and light bulbs",1996-09-25,Architecture & Design,Design,Dutch,Male,1960,
Pieter Laurens Mol,1996,Southeast,1987,Graphite and iodine on paper,1997-04-17,Drawings,Drawing,Dutch,Male,1946,
Richard Billingham,1997,Untitled,1995,Chromogenic color print,2005-05-11,Photography,Photograph,British,Male,1970,
Thomas Demand,1997,Room (Zimmer),1996,Chromogenic color print,1996-12-10,Photography,Photograph,German,Male,1964,
Osamu Kanemura,1997,Untitled #13,1995,Gelatin silver print,1996-12-10,Photography,Photograph,Japanese,Male,1964,
Jasper Johns,1997,"Peintures & Sculptures & Dessins & Lithos, Jasper Johns, Galerie Rive Droite",1960,Lithograph,1961-11-08,Architecture & Design,Design,American,Male,1930,
Batiste Madalena,2009,A Thief in Paradise,1925,Tempera on poster board,2012-02-08,Film,Painting,American,Male,1902,1988
Josef von Sternberg,2009,The Docks of New York,1928,"35mm film (black and white, silent)",1976-06-01,Film,Film,Austrian,Male,1894,1969
Martin Kippenberger,2009,Plate (folio 2) from DAS ENDE DER AVANDGARDE,1989,"Screenprint, printed in color, with collage additions",1990-01-16,Prints & Illustrated Books,Illustrated Book,German,Male,1953,1997
Albert Oehlen,2009,Untitled,1985,Portfolio of seven woodcuts,1986-01-09,Prints & Illustrated Books,Print,German,Male,1954,
León Ferrari,2009,"Plate 6 from L'AVANGUARDIA INTERNAZIONALE, Volume 4/L'AVANT-GARDE INTERNATIONALE, Volume 4/THE INTERNATIONAL AVANT-GARDE, Volume 4",1962,"Etching, printed in black",1964-01-07,Prints & Illustrated Books,Illustrated Book,Argentine,Male,1920,2013
Mira Schendel,2009,Trabalho concebido em 1971,1975,Artist's book,1999-03-04,Prints & Illustrated Books,Illustrated Book,Brazilian,Female,1919,1988
Bas Jan Ader,2009,I'm Too Sad to Tell You,1970,Gelatin silver print,2008-02-14,Photography,Photograph,Dutch,Male,1942,1975
Stanley Brouwn,2009,Steps of Pedestrians on Paper,1960,Street dust on ten pieces of paper,2007-10-09,Drawings,Drawing,Dutch,Male,1935,
Wim Crouwel,2009,Jean Lurçat,1959,Lithograph,1960-04-06,Architecture & Design,Design,Dutch,Male,1928,
Hanne Darboven,2009,49 x 49 (7 x 7 = 49),1972,Graphite pencil on 49 sheets of lined paper,1973-05-24,Drawings,Drawing,German,Female,1941,2009
Willem de Ridder,2009,Poster for Mars Door Amsterdam (March Through Amsterdam),1963,Letterpress in two parts,2008-10-08,Prints & Illustrated Books,Print,Dutch,Male,1939,
Ron Arad,2009,"FPE (Fantastic, Plastic, Elastic)",1997,Extruded aluminum profiles and injection-molded polypropylene plastic sheet,2000-12-11,Architecture & Design,Design,British,Male,1951,
Fujiwara Dai,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
The Gallery Mourmans,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Miyake Design Studio,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Issey Miyake,2009,IN-EI Mendori,2011,PET fabric and LEDs,2013-02-11,Architecture & Design,Design,Japanese,Male,1938,
Anni Albers,2010,Drapery Material Sample,1945,Cotton and metallic foil,Unknown,Architecture & Design,Design,American,Female,1899,1994
Josef Albers,2010,Tea Glass with Saucer and Stirrer,1925,"Heat-resistant glass, chrome-plated steel, ebony, and porcelain",1957-05-15,Architecture & Design,Design,American,Male,1888,1976
Alfred Arndt,2010,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gertrud Arndt,2010,At the Masters' Houses,1929,Gelatin silver print,2001-12-13,Photography,Photograph,German,Female,1903,2000
Theo H. Ballmer,2010,"Neues Bauen (New Building) (Poster for Deutsche Werkbund Exhibition at the Kunstgewerbe Museum, Zürich)",1928,Photolithograph,1980-01-08,Architecture & Design,Design,Swiss,Male,1902,1965
Berenice Abbott,2009,"Exchange Place, New York",1933,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1898,1991
Giovanni Anselmo,2009,Lire,1996,Artist's book,1997-05-28,Prints & Illustrated Books,Illustrated Book,Italian,Male,1934,
Richard Artschwager,2009,Umble #2,1970,Charcoal on paper,1970-05-12,Drawings,Drawing,American,Male,1923,2013
Eugène Atget,2009,Tuileries Sanglier / d'apres l'antique,1911,Albumen silver print,1968-03-06,Photography,Photograph,French,Male,1857,1927
"Bakelite Research Laboratories, New York, NY",2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pipilotti Rist,2009,I've Only Got Eyes for You - (Pin Down Jump Up Girl) (for Parkett no. 48),1996,"Multiple of photograph under lenticular film, mounted on plastic with suction cup",1998-03-05,Prints & Illustrated Books,Multiple,Swiss,Female,1962,
Arman,2008,Arman Estampes Catalogues Raisonné,1990,Two drypoints,1996-03-12,Prints & Illustrated Books,Illustrated Book,American,Male,1928,2005
Sandra Gamarra,2008,"The New Worshippers, II",2007,Pencil and oil on paper,2007-10-09,Drawings,Drawing,Peruvian,Female,1972,
Ken Abbott,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Robert Adamson,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jasper Johns,2009,"Peintures & Sculptures & Dessins & Lithos, Jasper Johns, Galerie Rive Droite",1960,Lithograph,1961-11-08,Architecture & Design,Design,American,Male,1930,
Franz Ackermann,2010,and she stepped in and couldn't believe what she'd seen - myself as a king-corrupted,2001,Pencil and synthetic polymer paint on paper,2001-10-11,Drawings,Drawing,German,Male,1963,
Kai Althoff,2010,Untitled,2001,"Lacquer, watercolor, and varnish on two sheets of paper mounted on canvas",2003-05-13,Drawings,Drawing,German,Male,1966,
Francis Alÿs,2010,Untitled,2000,Multiple of stencil and chalk,2000-05-24,Prints & Illustrated Books,Multiple,Belgian,Male,1959,
Carl Andre,2010,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1935,
Giovanni Anselmo,2010,Lire,1996,Artist's book,1997-05-28,Prints & Illustrated Books,Illustrated Book,Italian,Male,1934,
James Ensor,2009,La Gamme d'Amour,1907,"Illustrated book with 1 relief halftone and 21 photolithographic reproductions, and a supplementary musical score",1964-10-06,Prints & Illustrated Books,Illustrated Book,Belgian,Male,1860,1949
Kelly Asbury,2010,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Colleen Atwood,2010,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
